Year	Research_Scientists_engineers	Research_Project_Staff	Senior_Specialists	Research_Management	Research_Consulting	Technical_Services	Communication_and_Information_Services	General_Services	Administrative_Support	General_Management	Total_headcount	FTE
2000-2001												
2001-2002												
2002-2003												
2003-2004	1625	2429	44	193		658	409	98	987	131	6574	
2004-2005	1623	2375	41	213		640	438	81	1047	118		5946
2005-2006	1630	2358	33	187	38	622	439	87	1041	123	6558	5903
2006-2007	1688	2199	28	188	25	581	384	75	1046	117	6331	5695
2007-2008	1727	2246	29	194	13	542	402	66	1082	122	6423	5768
2008-2009	1837	2215	26	176	13	545	407	51	1112	128	6510	5866
2009-2010	1907	2241	34	161	15	630	429	48	1075	140	6680	5956
2010-2011	1865	2166	12	165	40	643	375	56	1048	144	6514	5780
2011-2012	1948	2094	11	166	42	613	391	40	1057	130	6492	5720
2012-2013	1858	2149	25	177	47	623	369	38	1068	123	6477	5751
2013-2014	1798	1874	17	181	47	569	326	34	980	138	5964	5423
2014-2015	1520	1669	21	254	40	537	201	16	908	103	5269	4836
2015-2016	1466	1752	20	248	54	586	203	23	909	106	5367	4864
2016-2017	1473	1803	21	246	58	621	237	20	942	144	5565	4990
2017-2018	1533	1809	19	251	55	672	260	19	999	150	5767	5190
2018-2019 	1570	1829	17	233	53	719	281	16	1046	151	5915	5359
2019-2020	1485	1521	13	250	60	683	230	8	930	139	5319	5065
2020-2021	1424	1504	11	252	57	665	206	8	946	148	5221	4949
2021-2022	1514	1625	10	257	68	707	256	15	1071	149	5672	5291
2022-2023	1816	1667	11	278	74	752	317	14	1230	157	6316	5939
2023-2024	1919	1734	11	301	77	810	293	17	1307	149	6618	6234
2024-2025	1782	1622	6	266	72	775	237	20	1088	130	5998	5676
